TIMESTAMP,TEMPERATURE,DUST,HUMIDITY,PRESSURE
1578726000899,22.6,12,41,998
1578729601035,22.7,7,42,999
1578733200939,22.7,5,41,1000
1578736800602,22.6,4,40,1001
1578740400988,22.6,5,40,1001
1578744000931,22.6,4,43,1001
1578747601112,22.4,5,45,1002
1578751200886,22.4,4,44,1002
1578754800995,22.6,6,44,1003
1578758400818,22.9,7,45,1003
1578762001006,23,7,45,1004
1578765600653,22.8,8,44,1003
1578769200856,22.4,14,44,1004
1578772801047,22.3,13,43,1004
1578776400923,22.4,14,44,1004
1578780000587,22.4,18,44,1004
1578783601375,23,24,44,1004
1578787200770,22.7,25,43,1004
1578790800666,22.3,22,42,1003
1578794401213,22.2,26,42,1003
1578798000754,22.2,22,41,1002
1578801600864,22.2,21,41,1002
1578805200919,22.4,13,41,1001
1578808800910,22.3,10,40,1001
1578812400772,22.3,11,40,1000
1578816000910,22.4,6,40,1000
1578819600718,22.9,7,41,1000
1578823200957,23,9,41,999
1578826800835,23,12,41,999
1578830401064,22.9,15,41,998
1578834000809,22.9,10,42,997
1578837600511,23.2,26,47,997
1578841200995,23.2,53,50,997
1578844801036,23,21,45,997
1578848400793,22.8,19,44,997
1578852001035,22.9,18,45,996
1578855600733,23,12,44,996
1578859200483,23,14,44,995
1578862801096,23,11,44,995
1578866400712,23,10,45,995
1578870000945,23,7,44,996
1578873600682,22.5,11,42,996
1578877200739,22.4,10,40,997
1578880800836,22.2,8,39,997
1578884400809,22.1,13,39,997
1578888001485,22.1,12,38,997
1578891601230,22.1,11,38,997
1578895201283,22.3,8,42,997
1578898800894,22.3,8,41,997
1578902401100,22.3,11,40,998
1578906001081,22.4,8,39,998
1578909601038,22.4,10,39,998
1578913200844,22.5,9,39,997
1578916801105,22.5,10,38,996
1578920400663,22.4,8,38,996
1578924001044,22.4,7,38,996
1578927600512,22.7,9,46,996
1578931200547,22.4,10,44,996
1578934801166,22.9,9,43,996
1578938400699,22.8,15,43,996
1578942000822,22.5,20,42,995
1578945601434,22.6,31,45,995
1578949201089,22.9,35,45,995
1578952800607,22.9,40,43,995
1578956400677,22.9,41,44,995
1578960000598,22.6,48,43,995
1578963600687,22.3,57,43,994
1578967201115,22.2,48,43,994
1578970800836,22.1,59,43,994
1578974400695,21.9,50,42,995
1578978000545,21.9,58,42,994
1578981600538,21.8,51,42,994
1578985200978,21.7,54,41,994
1578988801000,21.8,51,42,994
1578992400625,22,49,41,995
1578996000636,22,41,40,994
1578999600977,22,44,40,994
1579003201075,22,41,40,994
1579006800654,22,33,39,994
1579010400604,22,36,39,994
1579014000790,21.8,40,39,994
1579017600758,21.7,38,39,994
1579021201060,21.6,37,41,995
1579024800955,21.8,37,41,995
1579028400680,21.7,42,41,996
1579032000529,21.7,54,43,995
1579035600583,21.7,46,41,995
1579039200776,21.5,49,42,995
1579042800936,22.1,49,42,995
1579046401496,21.5,50,41,995
1579050000585,21.4,50,40,995
